Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol
Squeeze Breakout,111711.13,11711.13,11.71,3,1,2,33.33,12.77,61.0,-0.11,MTARTECH-BE
Keltner Tuned (ATR 2.0 + EMA),89430.68,-10569.32,-10.57,2,0,2,0.0,13.45,184.0,-6.915,ORISSAMINE
Keltner + EMA Cross (NEW),74505.31,-25494.69,-25.49,4,0,4,0.0,25.8,184.0,-6.752,ORISSAMINE
Keltner Breakout (ATR 1.5),82821.22,-17178.78,-17.18,3,0,3,0.0,19.85,184.0,-11.324,ORISSAMINE
Bollinger RSI,84523.49,-15476.51,-15.48,1,0,0,0.0,37.55,123.0,-0.882,ORISSAMINE
Squeeze Breakout,99037.32,-962.68,-0.96,3,1,2,33.33,11.39,108.0,-0.919,ORISSAMINE
Keltner Tuned (ATR 2.0 + EMA),102105.28,2105.28,2.11,2,1,1,50.0,9.06,157.0,-0.723,OSWALPUMPS
Keltner + EMA Cross (NEW),107557.92,7557.92,7.56,2,1,0,50.0,20.71,54.0,-0.72,OSWALPUMPS
Keltner Breakout (ATR 1.5),99128.49,-871.51,-0.87,4,1,3,25.0,16.98,157.0,-8.159,OSWALPUMPS
Bollinger RSI,65385.69,-34614.31,-34.61,1,0,1,0.0,54.7,156.0,-16.081,OSWALPUMPS
Squeeze Breakout,179782.93,79782.93,79.78,4,3,1,75.0,10.34,54.0,2.075,OSWALPUMPS
Keltner Tuned (ATR 2.0 + EMA),79827.27,-20172.73,-20.17,3,1,1,33.33,23.95,148.0,-4.233,PATILAUTOM-ST
Keltner + EMA Cross (NEW),87263.45,-12736.55,-12.74,1,0,1,0.0,14.28,148.0,-2.021,PATILAUTOM-ST
Keltner Breakout (ATR 1.5),91062.32,-8937.68,-8.94,3,1,1,33.33,18.34,106.0,-0.988,PATILAUTOM-ST
Bollinger RSI,119554.14,19554.14,19.55,1,1,0,100.0,41.54,107.0,0.503,PATILAUTOM-ST
Squeeze Breakout,75485.94,-24514.06,-24.51,4,0,3,0.0,27.5,195.0,-4.657,PATILAUTOM-ST
Keltner Tuned (ATR 2.0 + EMA),97770.21,-2229.79,-2.23,3,1,2,33.33,18.64,156.0,-1.416,POCL
Keltner + EMA Cross (NEW),92909.51,-7090.49,-7.09,1,0,1,0.0,15.57,123.0,-1.301,POCL
Keltner Breakout (ATR 1.5),98507.89,-1492.11,-1.49,5,1,4,20.0,16.27,184.0,-0.546,POCL
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,POCL
Squeeze Breakout,110021.13,10021.13,10.02,3,1,2,33.33,11.09,76.0,-0.213,POCL
Keltner Tuned (ATR 2.0 + EMA),156627.08,56627.08,56.63,3,2,1,66.67,14.02,46.0,0.744,POWERINDIA
Keltner + EMA Cross (NEW),95589.7,-4410.3,-4.41,1,0,1,0.0,14.4,145.0,-3.948,POWERINDIA
Keltner Breakout (ATR 1.5),152534.63,52534.63,52.53,4,2,2,50.0,15.18,65.0,0.618,POWERINDIA
Bollinger RSI,136579.63,36579.63,36.58,1,1,0,100.0,3.84,5.0,0.645,POWERINDIA
Squeeze Breakout,111231.42,11231.42,11.23,2,1,1,50.0,6.6,118.0,-0.105,POWERINDIA
Keltner Tuned (ATR 2.0 + EMA),73871.95,-26128.05,-26.13,3,0,3,0.0,26.78,191.0,-2.397,RBMINFRA-SM
Keltner + EMA Cross (NEW),86108.47,-13891.53,-13.89,1,0,1,0.0,19.51,52.0,-1.936,RBMINFRA-SM
Keltner Breakout (ATR 1.5),79853.57,-20146.43,-20.15,4,1,3,25.0,24.5,191.0,-53.914,RBMINFRA-SM
Bollinger RSI,117185.37,17185.37,17.19,3,2,0,66.67,32.24,40.0,0.184,RBMINFRA-SM
Squeeze Breakout,86229.88,-13770.12,-13.77,4,1,3,25.0,20.96,201.0,-3.837,RBMINFRA-SM
Keltner Tuned (ATR 2.0 + EMA),121189.65,21189.65,21.19,3,0,2,0.0,13.52,126.0,0.263,RRKABEL
Keltner + EMA Cross (NEW),166852.2,66852.2,66.85,2,1,0,50.0,12.1,73.0,1.682,RRKABEL
Keltner Breakout (ATR 1.5),133490.6,33490.6,33.49,5,1,3,20.0,16.94,123.0,0.607,RRKABEL
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,RRKABEL
Squeeze Breakout,89641.17,-10358.83,-10.36,3,0,3,0.0,12.45,192.0,-2.255,RRKABEL
Keltner Tuned (ATR 2.0 + EMA),115624.12,15624.12,15.62,5,1,3,20.0,28.31,192.0,0.164,SANGHVIMOV
Keltner + EMA Cross (NEW),142300.45,42300.45,42.3,4,1,2,25.0,30.58,166.0,0.696,SANGHVIMOV
Keltner Breakout (ATR 1.5),127446.5,27446.5,27.45,5,2,2,40.0,23.62,188.0,0.516,SANGHVIMOV
Bollinger RSI,124223.9,24223.9,24.22,1,1,0,100.0,36.47,100.0,2.348,SANGHVIMOV
Squeeze Breakout,122868.97,22868.97,22.87,2,1,1,50.0,13.35,192.0,0.432,SANGHVIMOV
Keltner Tuned (ATR 2.0 + EMA),113872.76,13872.76,13.87,4,2,1,50.0,18.92,133.0,0.13,SCHNEIDER
Keltner + EMA Cross (NEW),94050.03,-5949.97,-5.95,1,0,1,0.0,6.06,197.0,-3.185,SCHNEIDER
Keltner Breakout (ATR 1.5),98750.69,-1249.31,-1.25,6,2,3,33.33,25.11,134.0,-0.268,SCHNEIDER
Bollinger RSI,143128.96,43128.96,43.13,1,1,0,100.0,7.3,91.0,0.699,SCHNEIDER
Squeeze Breakout,102965.03,2965.03,2.97,4,1,3,25.0,20.95,127.0,-0.246,SCHNEIDER
Keltner Tuned (ATR 2.0 + EMA),171226.31,71226.31,71.23,1,0,0,0.0,6.64,11.0,0.0,SHADOWFAX
Keltner + EMA Cross (NEW),100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,SHADOWFAX
Keltner Breakout (ATR 1.5),179166.42,79166.42,79.17,1,0,0,0.0,6.77,11.0,0.0,SHADOWFAX
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,SHADOWFAX
Squeeze Breakout,93147.9,-6852.1,-6.85,1,0,1,0.0,8.93,75.0,0.0,SHADOWFAX
Keltner Tuned (ATR 2.0 + EMA),113041.29,13041.29,13.04,2,2,0,100.0,9.02,22.0,0.003,SKIPPER
Keltner + EMA Cross (NEW),97276.71,-2723.29,-2.72,1,0,1,0.0,2.72,166.0,-5.774,SKIPPER
Keltner Breakout (ATR 1.5),109491.35,9491.35,9.49,5,2,2,40.0,12.78,159.0,-0.058,SKIPPER
Bollinger RSI,90849.99,-9150.01,-9.15,1,0,1,0.0,32.36,155.0,-2.476,SKIPPER
Squeeze Breakout,123665.49,23665.49,23.67,3,2,1,66.67,9.44,71.0,0.829,SKIPPER
Keltner Tuned (ATR 2.0 + EMA),131701.17,31701.17,31.7,1,1,0,100.0,13.33,15.0,0.59,SOTL
Keltner + EMA Cross (NEW),93078.5,-6921.5,-6.92,2,0,2,0.0,7.59,194.0,-6.626,SOTL
Keltner Breakout (ATR 1.5),134353.47,34353.47,34.35,2,1,1,50.0,13.21,84.0,0.583,SOTL
Bollinger RSI,114952.47,14952.47,14.95,1,1,0,100.0,24.98,85.0,0.208,SOTL
Squeeze Breakout,91639.27,-8360.73,-8.36,4,1,3,25.0,14.52,141.0,-4.381,SOTL
Keltner Tuned (ATR 2.0 + EMA),128577.4,28577.4,28.58,3,3,0,100.0,10.34,36.0,0.545,SPORTKING
Keltner + EMA Cross (NEW),195197.28,95197.28,95.2,1,0,0,0.0,10.55,24.0,0.863,SPORTKING
Keltner Breakout (ATR 1.5),131679.52,31679.52,31.68,3,3,0,100.0,10.49,36.0,0.59,SPORTKING
Bollinger RSI,99867.9,-132.1,-0.13,1,0,1,0.0,23.16,185.0,-0.516,SPORTKING
Squeeze Breakout,105115.58,5115.58,5.12,5,2,3,40.0,23.5,121.0,-0.157,SPORTKING
Keltner Tuned (ATR 2.0 + EMA),132874.77,32874.77,32.87,5,2,3,40.0,41.67,176.0,0.471,STALLION
Keltner + EMA Cross (NEW),110107.55,10107.55,10.11,1,0,0,0.0,10.35,12.0,-0.286,STALLION
Keltner Breakout (ATR 1.5),178407.1,78407.1,78.41,5,3,2,60.0,37.72,176.0,1.205,STALLION
Bollinger RSI,131917.61,31917.61,31.92,1,1,0,100.0,19.51,25.0,0.593,STALLION
Squeeze Breakout,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,STALLION
Keltner Tuned (ATR 2.0 + EMA),108591.46,8591.46,8.59,2,1,1,50.0,26.41,50.0,-0.513,STLNETWORK-BE
Keltner + EMA Cross (NEW),117838.74,17838.74,17.84,1,1,0,100.0,20.46,50.0,0.271,STLNETWORK-BE
Keltner Breakout (ATR 1.5),97921.02,-2078.98,-2.08,3,1,2,33.33,26.41,50.0,-7.253,STLNETWORK-BE
Bollinger RSI,115359.96,15359.96,15.36,1,1,0,100.0,29.92,41.0,0.19,STLNETWORK-BE
Squeeze Breakout,115711.36,15711.36,15.71,2,2,0,100.0,11.93,65.0,0.173,STLNETWORK-BE
Keltner Tuned (ATR 2.0 + EMA),109892.73,9892.73,9.89,4,0,3,0.0,17.18,201.0,-0.014,STOVEKRAFT
Keltner + EMA Cross (NEW),100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,STOVEKRAFT
Keltner Breakout (ATR 1.5),92798.49,-7201.51,-7.2,6,1,4,16.67,30.07,212.0,-0.721,STOVEKRAFT
Bollinger RSI,107283.42,7283.42,7.28,1,1,0,100.0,25.8,137.0,-0.763,STOVEKRAFT
Squeeze Breakout,108435.35,8435.35,8.44,5,2,3,40.0,14.15,201.0,-0.065,STOVEKRAFT
Keltner Tuned (ATR 2.0 + EMA),113811.49,13811.49,13.81,2,1,1,50.0,11.14,128.0,0.068,SWELECTES
Keltner + EMA Cross (NEW),92099.56,-7900.44,-7.9,2,0,1,0.0,7.9,26.0,-2.645,SWELECTES
Keltner Breakout (ATR 1.5),125617.11,25617.11,25.62,2,2,0,100.0,10.96,123.0,0.953,SWELECTES
Bollinger RSI,89557.25,-10442.75,-10.44,1,0,1,0.0,29.83,152.0,-1.392,SWELECTES
Squeeze Breakout,131332.31,31332.31,31.33,2,2,0,100.0,11.32,50.0,0.942,SWELECTES
Keltner Tuned (ATR 2.0 + EMA),129112.94,29112.94,29.11,1,1,0,100.0,8.14,25.0,0.553,THERMAX
Keltner + EMA Cross (NEW),96325.06,-3674.94,-3.67,1,0,1,0.0,5.58,121.0,-4.609,THERMAX
Keltner Breakout (ATR 1.5),109032.63,9032.63,9.03,4,1,3,25.0,16.54,63.0,-0.439,THERMAX
Bollinger RSI,120972.88,20972.88,20.97,1,1,0,100.0,9.09,58.0,0.482,THERMAX
Squeeze Breakout,96558.96,-3441.04,-3.44,4,1,3,25.0,9.62,112.0,-5.923,THERMAX
Keltner Tuned (ATR 2.0 + EMA),94493.14,-5506.86,-5.51,1,0,1,0.0,27.05,40.0,-3.361,TIGERLOGS-BE
Keltner + EMA Cross (NEW),111648.35,11648.35,11.65,1,1,0,100.0,29.55,40.0,-0.116,TIGERLOGS-BE
Keltner Breakout (ATR 1.5),96002.06,-3997.94,-4.0,2,1,1,50.0,27.59,47.0,-4.252,TIGERLOGS-BE
Bollinger RSI,113159.11,13159.11,13.16,1,1,0,100.0,34.51,51.0,-0.017,TIGERLOGS-BE
Squeeze Breakout,143187.29,43187.29,43.19,4,2,2,50.0,16.08,61.0,0.624,TIGERLOGS-BE
Keltner Tuned (ATR 2.0 + EMA),67077.37,-32922.63,-32.92,3,0,3,0.0,33.33,202.0,-3.69,VILAS-SM
Keltner + EMA Cross (NEW),63895.13,-36104.87,-36.1,5,0,4,0.0,36.5,202.0,-3.629,VILAS-SM
Keltner Breakout (ATR 1.5),83906.55,-16093.45,-16.09,3,1,2,33.33,19.59,202.0,-5.149,VILAS-SM
Bollinger RSI,95611.76,-4388.24,-4.39,1,0,1,0.0,28.49,172.0,-0.749,VILAS-SM
Squeeze Breakout,82303.54,-17696.46,-17.7,4,1,3,25.0,21.12,202.0,-7.95,VILAS-SM
Keltner Tuned (ATR 2.0 + EMA),85436.25,-14563.75,-14.56,1,0,1,0.0,14.56,47.0,-1.893,VPRPL-BE
Keltner + EMA Cross (NEW),100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,VPRPL-BE
Keltner Breakout (ATR 1.5),80729.55,-19270.45,-19.27,2,0,2,0.0,23.03,54.0,-1.675,VPRPL-BE
Bollinger RSI,25518.76,-74481.24,-74.48,1,0,0,0.0,76.55,209.0,-7.506,VPRPL-BE
Squeeze Breakout,135169.65,35169.65,35.17,1,1,0,100.0,6.31,125.0,0.622,VPRPL-BE
Keltner Tuned (ATR 2.0 + EMA),118182.5,18182.5,18.18,2,1,1,50.0,14.35,102.0,0.202,WOCKPHARMA
Keltner + EMA Cross (NEW),82558.85,-17441.15,-17.44,3,0,3,0.0,17.44,197.0,-3.495,WOCKPHARMA
Keltner Breakout (ATR 1.5),117015.42,17015.42,17.02,3,1,2,33.33,16.79,102.0,0.176,WOCKPHARMA
Bollinger RSI,106410.08,6410.08,6.41,1,1,0,100.0,28.03,188.0,-0.746,WOCKPHARMA
Squeeze Breakout,99680.9,-319.1,-0.32,2,1,1,50.0,10.82,125.0,-1.629,WOCKPHARMA
Keltner Tuned (ATR 2.0 + EMA),174279.48,74279.48,74.28,3,2,0,66.67,14.17,173.0,0.956,ATHERENERG
Keltner + EMA Cross (NEW),90033.91,-9966.09,-9.97,1,0,1,0.0,15.51,125.0,-0.995,ATHERENERG
Keltner Breakout (ATR 1.5),171892.32,71892.32,71.89,6,3,2,50.0,23.12,173.0,0.961,ATHERENERG
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ATHERENERG
Squeeze Breakout,99975.04,-24.96,-0.02,3,1,2,33.33,12.89,67.0,-521.866,ATHERENERG
Keltner Tuned (ATR 2.0 + EMA),132872.88,32872.88,32.87,2,0,1,0.0,4.92,17.0,0.605,CAPLIPOINT
Keltner + EMA Cross (NEW),90659.21,-9340.79,-9.34,1,0,1,0.0,9.34,101.0,-2.392,CAPLIPOINT
Keltner Breakout (ATR 1.5),112914.02,12914.02,12.91,5,1,3,20.0,19.02,195.0,0.078,CAPLIPOINT
Bollinger RSI,125351.11,25351.11,25.35,1,1,0,100.0,6.14,36.0,0.487,CAPLIPOINT
Squeeze Breakout,90401.73,-9598.27,-9.6,3,0,3,0.0,11.77,194.0,-3.195,CAPLIPOINT
Keltner Tuned (ATR 2.0 + EMA),98636.09,-1363.91,-1.36,4,1,3,25.0,16.54,84.0,-10.531,SOLARINDS
Keltner + EMA Cross (NEW),96234.53,-3765.47,-3.77,1,0,1,0.0,14.44,80.0,-4.452,SOLARINDS
Keltner Breakout (ATR 1.5),97506.47,-2493.53,-2.49,5,1,3,20.0,16.35,84.0,-6.214,SOLARINDS
Bollinger RSI,122210.22,22210.22,22.21,1,1,0,100.0,6.42,23.0,0.398,SOLARINDS
Squeeze Breakout,91402.1,-8597.9,-8.6,3,1,2,33.33,11.13,133.0,-17.131,SOLARINDS
