Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol
Keltner Breakout (ATR 1.5),134841.12,34841.12,34.84,4,3,1,75.0,12.57,137.0,1.716,AXISCADES
Bollinger RSI,157633.54,57633.54,57.63,1,1,0,100.0,24.8,37.0,1.475,AXISCADES
Squeeze Breakout,111798.03,11798.03,11.8,2,1,1,50.0,12.62,40.0,-0.102,AXISCADES
Keltner Tuned (ATR 2.0 + EMA),109804.22,9804.22,9.8,5,2,2,40.0,12.81,80.0,-0.543,BHARATFORG
Keltner + EMA Cross (NEW),125664.05,25664.05,25.66,2,2,0,100.0,12.43,80.0,0.668,BHARATFORG
Keltner Breakout (ATR 1.5),124714.2,24714.2,24.71,5,4,0,80.0,7.35,80.0,1.132,BHARATFORG
Bollinger RSI,121754.01,21754.01,21.75,1,1,0,100.0,6.87,21.0,0.402,BHARATFORG
Squeeze Breakout,104307.95,4307.95,4.31,3,1,1,33.33,9.58,154.0,-0.957,BHARATFORG
Keltner Tuned (ATR 2.0 + EMA),92072.21,-7927.79,-7.93,3,0,3,0.0,11.49,164.0,-23.248,BHARTIARTL
Keltner + EMA Cross (NEW),88316.37,-11683.63,-11.68,3,0,3,0.0,12.64,194.0,-7.134,BHARTIARTL
Keltner Breakout (ATR 1.5),89343.1,-10656.9,-10.66,6,0,5,0.0,12.87,164.0,-6.359,BHARTIARTL
Bollinger RSI,112146.8,12146.8,12.15,2,1,0,50.0,7.96,46.0,-0.206,BHARTIARTL
Squeeze Breakout,87762.67,-12237.33,-12.24,4,1,3,25.0,12.47,220.0,-19.253,BHARTIARTL
Keltner Tuned (ATR 2.0 + EMA),88745.82,-11254.18,-11.25,2,0,2,0.0,11.37,39.0,-2.155,BIRLACORPN
Keltner + EMA Cross (NEW),94200.63,-5799.37,-5.8,1,0,1,0.0,6.42,12.0,-3.242,BIRLACORPN
Keltner Breakout (ATR 1.5),82997.73,-17002.27,-17.0,3,0,3,0.0,17.12,54.0,-1.765,BIRLACORPN
Bollinger RSI,88693.46,-11306.54,-11.31,1,0,1,0.0,34.26,162.0,-2.215,BIRLACORPN
Squeeze Breakout,103047.54,3047.54,3.05,5,3,2,60.0,8.33,79.0,-0.683,BIRLACORPN
Keltner Tuned (ATR 2.0 + EMA),125265.86,25265.86,25.27,3,2,1,66.67,16.83,105.0,1.882,BSE
Keltner + EMA Cross (NEW),110336.57,10336.57,10.34,2,1,1,50.0,13.26,148.0,-0.103,BSE
Keltner Breakout (ATR 1.5),118164.6,18164.6,18.16,5,2,3,40.0,22.84,114.0,0.317,BSE
Bollinger RSI,129615.85,29615.85,29.62,1,1,0,100.0,12.89,21.0,0.561,BSE
Squeeze Breakout,101040.55,1040.55,1.04,4,1,3,25.0,22.69,209.0,-1.034,BSE
Keltner Tuned (ATR 2.0 + EMA),93729.85,-6270.15,-6.27,3,1,2,33.33,12.64,150.0,-4.85,CAMS
Keltner + EMA Cross (NEW),84559.77,-15440.23,-15.44,4,0,3,0.0,15.46,169.0,-4.316,CAMS
Keltner Breakout (ATR 1.5),99698.23,-301.77,-0.3,4,1,3,25.0,10.85,142.0,-1.526,CAMS
Bollinger RSI,111000.45,11000.45,11.0,1,1,0,100.0,23.13,194.0,-0.24,CAMS
Squeeze Breakout,87105.29,-12894.71,-12.89,4,0,4,0.0,12.92,169.0,-6.99,CAMS
Keltner Tuned (ATR 2.0 + EMA),105152.12,5152.12,5.15,3,1,1,33.33,12.28,133.0,-1.054,CENTUM
Keltner + EMA Cross (NEW),101594.96,1594.96,1.59,1,1,0,100.0,16.37,204.0,-7.151,CENTUM
Keltner Breakout (ATR 1.5),100249.19,249.19,0.25,5,2,2,40.0,21.13,133.0,-7.358,CENTUM
Bollinger RSI,158457.13,58457.13,58.46,2,2,0,100.0,14.05,75.0,2.649,CENTUM
Squeeze Breakout,76204.49,-23795.51,-23.8,6,1,4,16.67,29.93,141.0,-67.631,CENTUM
Keltner Tuned (ATR 2.0 + EMA),106723.34,6723.34,6.72,4,3,1,75.0,11.25,108.0,-3.36,CGPOWER
Keltner + EMA Cross (NEW),102305.34,2305.34,2.31,2,1,1,50.0,7.13,197.0,-4.639,CGPOWER
Keltner Breakout (ATR 1.5),107010.01,7010.01,7.01,5,4,1,80.0,12.71,108.0,-2.799,CGPOWER
Bollinger RSI,116067.52,16067.52,16.07,1,1,0,100.0,21.8,50.0,0.154,CGPOWER
Squeeze Breakout,114861.49,14861.49,14.86,4,2,2,50.0,6.94,77.0,7.559,CGPOWER
Keltner Tuned (ATR 2.0 + EMA),85170.05,-14829.95,-14.83,4,1,3,25.0,20.15,117.0,-2.235,COALINDIA
Keltner + EMA Cross (NEW),98737.11,-1262.89,-1.26,1,0,1,0.0,7.05,22.0,-11.294,COALINDIA
Keltner Breakout (ATR 1.5),87921.48,-12078.52,-12.08,6,1,5,16.67,13.97,117.0,-14.916,COALINDIA
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,COALINDIA
Squeeze Breakout,94102.64,-5897.36,-5.9,3,0,3,0.0,8.33,101.0,-5.354,COALINDIA
Keltner Tuned (ATR 2.0 + EMA),96184.67,-3815.33,-3.82,6,4,2,66.67,12.78,160.0,-2.812,CUMMINSIND
Keltner + EMA Cross (NEW),104262.95,4262.95,4.26,1,1,0,100.0,8.69,85.0,-2.05,CUMMINSIND
Keltner Breakout (ATR 1.5),103405.61,3405.61,3.41,6,4,2,66.67,12.48,85.0,-8.571,CUMMINSIND
Bollinger RSI,117297.94,17297.94,17.3,1,1,0,100.0,3.26,91.0,0.248,CUMMINSIND
Squeeze Breakout,93075.92,-6924.08,-6.92,6,3,3,50.0,15.87,160.0,-3.68,CUMMINSIND
Keltner Tuned (ATR 2.0 + EMA),288738.92,188738.92,188.74,4,3,0,75.0,34.41,121.0,1.12,CUPID
Keltner + EMA Cross (NEW),83611.45,-16388.55,-16.39,1,0,1,0.0,16.39,78.0,-1.793,CUPID
Keltner Breakout (ATR 1.5),303325.31,203325.31,203.33,5,3,1,60.0,43.61,118.0,1.162,CUPID
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,CUPID
Squeeze Breakout,78675.74,-21324.26,-21.32,1,0,1,0.0,21.32,82.0,-1.61,CUPID
Keltner Tuned (ATR 2.0 + EMA),105350.92,5350.92,5.35,2,1,1,50.0,6.91,76.0,-19.99,DEEPAKNTR
Keltner + EMA Cross (NEW),106358.19,6358.19,6.36,1,1,0,100.0,11.78,40.0,-1.045,DEEPAKNTR
Keltner Breakout (ATR 1.5),102555.33,2555.33,2.56,4,2,2,50.0,12.06,83.0,-28.536,DEEPAKNTR
Bollinger RSI,110866.54,10866.54,10.87,2,1,1,50.0,17.82,162.0,-0.062,DEEPAKNTR
Squeeze Breakout,104484.77,4484.77,4.48,3,2,0,66.67,11.08,65.0,-8.019,DEEPAKNTR
